frame.number,frame.time,frame.len,ip.proto,_ws.col.Protocol,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.seq,tcp.flags
"1","Jun 21, 2020 23:42:52.548046854 UTC","226","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"1","0x00000018"
"2","Jun 21, 2020 23:42:52.548111167 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"161","0x00000018"
"3","Jun 21, 2020 23:42:52.548148309 UTC","386","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"225","0x00000018"
"4","Jun 21, 2020 23:42:52.548173944 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"545","0x00000018"
"5","Jun 21, 2020 23:42:52.548202817 UTC","482","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"609","0x00000018"
"6","Jun 21, 2020 23:42:52.548235308 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"1025","0x00000018"
"7","Jun 21, 2020 23:42:52.548257081 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"8","Jun 21, 2020 23:42:52.548281525 UTC","354","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"1089","0x00000018"
"9","Jun 21, 2020 23:42:52.548305526 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"1377","0x00000018"
"10","Jun 21, 2020 23:42:52.548332449 UTC","354","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"1441","0x00000018"
"11","Jun 21, 2020 23:42:52.548350206 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"12","Jun 21, 2020 23:42:52.548353883 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"13","Jun 21, 2020 23:42:52.548355844 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"14","Jun 21, 2020 23:42:52.548367699 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"1729","0x00000018"
"15","Jun 21, 2020 23:42:52.548391408 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"1793","0x00000018"
"16","Jun 21, 2020 23:42:52.548415297 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"1857","0x00000018"
"17","Jun 21, 2020 23:42:52.548440310 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"1921","0x00000018"
"18","Jun 21, 2020 23:42:52.548452934 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"19","Jun 21, 2020 23:42:52.548455979 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"20","Jun 21, 2020 23:42:52.548568135 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"21","Jun 21, 2020 23:42:52.548570341 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"22","Jun 21, 2020 23:42:52.548572161 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"23","Jun 21, 2020 23:42:52.548573846 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"24","Jun 21, 2020 23:42:52.548575683 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"25","Jun 21, 2020 23:42:52.548601866 UTC","226","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"1985","0x00000018"
"26","Jun 21, 2020 23:42:52.548626955 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"2145","0x00000018"
"27","Jun 21, 2020 23:42:52.548646122 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"28","Jun 21, 2020 23:42:52.548649336 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"29","Jun 21, 2020 23:42:52.548659869 UTC","226","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"2209","0x00000018"
"30","Jun 21, 2020 23:42:52.548684158 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"2369","0x00000018"
"31","Jun 21, 2020 23:42:52.548708636 UTC","226","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"2433","0x00000018"
"32","Jun 21, 2020 23:42:52.548731869 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"2593","0x00000018"
"33","Jun 21, 2020 23:42:52.548756949 UTC","226","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"2657","0x00000018"
"34","Jun 21, 2020 23:42:52.548771177 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"35","Jun 21, 2020 23:42:52.548786476 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"2817","0x00000018"
"36","Jun 21, 2020 23:42:52.548811677 UTC","226","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"2881","0x00000018"
"37","Jun 21, 2020 23:42:52.548831012 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"38","Jun 21, 2020 23:42:52.548833992 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"39","Jun 21, 2020 23:42:52.548843006 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"3041","0x00000018"
"40","Jun 21, 2020 23:42:52.548867370 UTC","226","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"3105","0x00000018"
"41","Jun 21, 2020 23:42:52.548891186 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"42","Jun 21, 2020 23:42:52.548899234 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"3265","0x00000018"
"43","Jun 21, 2020 23:42:52.548923990 UTC","226","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"3329","0x00000018"
"44","Jun 21, 2020 23:42:52.548947333 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"3489","0x00000018"
"45","Jun 21, 2020 23:42:52.548973193 UTC","210","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"3553","0x00000018"
"46","Jun 21, 2020 23:42:52.549005700 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"47","Jun 21, 2020 23:42:52.549062721 UTC","146","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"3697","0x00000018"
"48","Jun 21, 2020 23:42:52.549080140 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"49","Jun 21, 2020 23:42:52.549083409 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"50","Jun 21, 2020 23:42:52.549096815 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"3777","0x00000018"
"51","Jun 21, 2020 23:42:52.549120909 UTC","226","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"3841","0x00000018"
"52","Jun 21, 2020 23:42:52.549135283 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"53","Jun 21, 2020 23:42:52.549151301 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"4001","0x00000018"
"54","Jun 21, 2020 23:42:52.549184891 UTC","226","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"4065","0x00000018"
"55","Jun 21, 2020 23:42:52.549208250 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"4225","0x00000018"
"56","Jun 21, 2020 23:42:52.549232835 UTC","226","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"4289","0x00000018"
"57","Jun 21, 2020 23:42:52.549238977 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"58","Jun 21, 2020 23:42:52.549241615 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"59","Jun 21, 2020 23:42:52.549264560 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"4449","0x00000018"
"60","Jun 21, 2020 23:42:52.549291477 UTC","226","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"4513","0x00000018"
"61","Jun 21, 2020 23:42:52.549314525 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"4673","0x00000018"
"62","Jun 21, 2020 23:42:52.549343209 UTC","226","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"4737","0x00000018"
"63","Jun 21, 2020 23:42:52.549363130 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"64","Jun 21, 2020 23:42:52.549373494 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"4897","0x00000018"
"65","Jun 21, 2020 23:42:52.549422677 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"66","Jun 21, 2020 23:42:52.549431559 UTC","226","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"4961","0x00000018"
"67","Jun 21, 2020 23:42:52.549459640 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"5121","0x00000018"
"68","Jun 21, 2020 23:42:52.549481663 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"69","Jun 21, 2020 23:42:52.549495881 UTC","226","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"5185","0x00000018"
"70","Jun 21, 2020 23:42:52.549520403 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"5345","0x00000018"
"71","Jun 21, 2020 23:42:52.549544668 UTC","226","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"5409","0x00000018"
"72","Jun 21, 2020 23:42:52.549568131 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"5569","0x00000018"
"73","Jun 21, 2020 23:42:52.549589940 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"74","Jun 21, 2020 23:42:52.549599487 UTC","226","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"5633","0x00000018"
"75","Jun 21, 2020 23:42:52.549624683 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"5793","0x00000018"
"76","Jun 21, 2020 23:42:52.549649318 UTC","226","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"5857","0x00000018"
"77","Jun 21, 2020 23:42:52.549763397 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"78","Jun 21, 2020 23:42:52.549767826 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"79","Jun 21, 2020 23:42:52.549785078 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"80","Jun 21, 2020 23:42:52.549787384 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"81","Jun 21, 2020 23:42:52.549928198 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"82","Jun 21, 2020 23:42:52.836548885 UTC","130","6","SSH","10.142.0.3","74.125.75.33","22","33286",,,"1","0x00000018"
"83","Jun 21, 2020 23:42:52.836894236 UTC","66","6","TCP","74.125.75.33","10.142.0.3","33286","22",,,"1","0x00000010"
"84","Jun 21, 2020 23:42:53.338701203 UTC","130","6","SSH","10.142.0.3","74.125.75.33","22","33286",,,"65","0x00000018"
"85","Jun 21, 2020 23:42:53.339087953 UTC","66","6","TCP","74.125.75.33","10.142.0.3","33286","22",,,"1","0x00000010"
"86","Jun 21, 2020 23:42:53.850771556 UTC","130","6","SSH","10.142.0.3","74.125.75.33","22","33286",,,"129","0x00000018"
"87","Jun 21, 2020 23:42:53.851094148 UTC","66","6","TCP","74.125.75.33","10.142.0.3","33286","22",,,"1","0x00000010"
"88","Jun 21, 2020 23:42:54.362688112 UTC","130","6","SSH","10.142.0.3","74.125.75.33","22","33286",,,"193","0x00000018"
"89","Jun 21, 2020 23:42:54.363004660 UTC","66","6","TCP","74.125.75.33","10.142.0.3","33286","22",,,"1","0x00000010"
"90","Jun 21, 2020 23:42:54.874698295 UTC","130","6","SSH","10.142.0.3","74.125.75.33","22","33286",,,"257","0x00000018"
"91","Jun 21, 2020 23:42:54.875005779 UTC","66","6","TCP","74.125.75.33","10.142.0.3","33286","22",,,"1","0x00000010"
"92","Jun 21, 2020 23:42:55.388235614 UTC","130","6","SSH","10.142.0.3","74.125.75.33","22","33286",,,"321","0x00000018"
"93","Jun 21, 2020 23:42:55.388564614 UTC","66","6","TCP","74.125.75.33","10.142.0.3","33286","22",,,"1","0x00000010"
"94","Jun 21, 2020 23:42:55.556309097 UTC","226","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"6017","0x00000018"
"95","Jun 21, 2020 23:42:55.556392150 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"6177","0x00000018"
"96","Jun 21, 2020 23:42:55.556433301 UTC","386","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"6241","0x00000018"
"97","Jun 21, 2020 23:42:55.556461954 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"6561","0x00000018"
"98","Jun 21, 2020 23:42:55.556501419 UTC","482","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"6625","0x00000018"
"99","Jun 21, 2020 23:42:55.556529565 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"7041","0x00000018"
"100","Jun 21, 2020 23:42:55.556559255 UTC","354","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"7105","0x00000018"
"101","Jun 21, 2020 23:42:55.556588357 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"7393","0x00000018"
"102","Jun 21, 2020 23:42:55.556604571 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"103","Jun 21, 2020 23:42:55.556614606 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"104","Jun 21, 2020 23:42:55.556639551 UTC","354","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"7457","0x00000018"
"105","Jun 21, 2020 23:42:55.556667849 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"7745","0x00000018"
"106","Jun 21, 2020 23:42:55.556696027 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"7809","0x00000018"
"107","Jun 21, 2020 23:42:55.556710145 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"108","Jun 21, 2020 23:42:55.556714086 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"109","Jun 21, 2020 23:42:55.556731923 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"7873","0x00000018"
"110","Jun 21, 2020 23:42:55.556759784 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"7937","0x00000018"
"111","Jun 21, 2020 23:42:55.556767580 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"112","Jun 21, 2020 23:42:55.556770724 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"113","Jun 21, 2020 23:42:55.556796476 UTC","226","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"8001","0x00000018"
"114","Jun 21, 2020 23:42:55.556825100 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"8161","0x00000018"
"115","Jun 21, 2020 23:42:55.556830703 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"116","Jun 21, 2020 23:42:55.556859369 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"8225","0x00000018"
"117","Jun 21, 2020 23:42:55.556887348 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"8289","0x00000018"
"118","Jun 21, 2020 23:42:55.556915315 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"8353","0x00000018"
"119","Jun 21, 2020 23:42:55.556927163 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"120","Jun 21, 2020 23:42:55.556930685 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"121","Jun 21, 2020 23:42:55.556932573 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"122","Jun 21, 2020 23:42:55.556934379 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"123","Jun 21, 2020 23:42:55.556936281 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"124","Jun 21, 2020 23:42:55.556956901 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"8417","0x00000018"
"125","Jun 21, 2020 23:42:55.556976263 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"126","Jun 21, 2020 23:42:55.556991615 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"8481","0x00000018"
"127","Jun 21, 2020 23:42:55.557019943 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"128","Jun 21, 2020 23:42:55.557023322 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"129","Jun 21, 2020 23:42:55.557025195 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"130","Jun 21, 2020 23:42:55.557030508 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"8545","0x00000018"
"131","Jun 21, 2020 23:42:55.557057972 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"8609","0x00000018"
"132","Jun 21, 2020 23:42:55.557086474 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"133","Jun 21, 2020 23:42:55.557090035 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"8673","0x00000018"
"134","Jun 21, 2020 23:42:55.557118272 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"8737","0x00000018"
"135","Jun 21, 2020 23:42:55.557145747 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"8801","0x00000018"
"136","Jun 21, 2020 23:42:55.557172833 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"8865","0x00000018"
"137","Jun 21, 2020 23:42:55.557183126 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"138","Jun 21, 2020 23:42:55.557206541 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"8929","0x00000018"
"139","Jun 21, 2020 23:42:55.557234171 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"8993","0x00000018"
"140","Jun 21, 2020 23:42:55.557245955 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"141","Jun 21, 2020 23:42:55.557275023 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"9057","0x00000018"
"142","Jun 21, 2020 23:42:55.557303058 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"9121","0x00000018"
"143","Jun 21, 2020 23:42:55.557311216 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"144","Jun 21, 2020 23:42:55.557337782 UTC","130","6","SSH","10.142.0.3","74.125.77.97","22","33392",,,"9185","0x00000018"
"145","Jun 21, 2020 23:42:55.557442974 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"146","Jun 21, 2020 23:42:55.557447379 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"147","Jun 21, 2020 23:42:55.557554414 UTC","66","6","TCP","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000010"
"148","Jun 21, 2020 23:42:55.637496107 UTC","130","6","SSH","74.125.75.34","10.142.0.3","36378","22",,,"1","0x00000018"
"149","Jun 21, 2020 23:42:55.640231110 UTC","178","6","SSH","10.142.0.3","74.125.75.34","22","36378",,,"1","0x00000018"
"150","Jun 21, 2020 23:42:55.640543851 UTC","66","6","TCP","74.125.75.34","10.142.0.3","36378","22",,,"65","0x00000010"
"151","Jun 21, 2020 23:42:55.696303116 UTC","130","6","SSH","74.125.77.97","10.142.0.3","33392","22",,,"1","0x00000018"
"152","Jun 21, 2020 23:42:55.696326307 UTC","66","6","TCP","10.142.0.3","74.125.77.97","22","33392",,,"9249","0x00000010"
"153","Jun 21, 2020 23:42:55.907027202 UTC","130","6","SSH","10.142.0.3","74.125.75.33","22","33286",,,"385","0x00000018"
"154","Jun 21, 2020 23:42:55.907336175 UTC","66","6","TCP","74.125.75.33","10.142.0.3","33286","22",,,"1","0x00000010"
"155","Jun 21, 2020 23:42:56.410806939 UTC","130","6","SSH","10.142.0.3","74.125.75.33","22","33286",,,"449","0x00000018"
"156","Jun 21, 2020 23:42:56.411168542 UTC","66","6","TCP","74.125.75.33","10.142.0.3","33286","22",,,"1","0x00000010"
"157","Jun 21, 2020 23:42:56.922687736 UTC","130","6","SSH","10.142.0.3","74.125.75.33","22","33286",,,"513","0x00000018"
"158","Jun 21, 2020 23:42:56.923010715 UTC","66","6","TCP","74.125.75.33","10.142.0.3","33286","22",,,"1","0x00000010"
"159","Jun 21, 2020 23:42:57.434656058 UTC","130","6","SSH","10.142.0.3","74.125.75.33","22","33286",,,"577","0x00000018"
"160","Jun 21, 2020 23:42:57.434987489 UTC","66","6","TCP","74.125.75.33","10.142.0.3","33286","22",,,"1","0x00000010"
"161","Jun 21, 2020 23:42:57.946667017 UTC","130","6","SSH","10.142.0.3","74.125.75.33","22","33286",,,"641","0x00000018"
"162","Jun 21, 2020 23:42:57.946966921 UTC","66","6","TCP","74.125.75.33","10.142.0.3","33286","22",,,"1","0x00000010"
