target,Ftime,Sip,Dip,Dport135,Dport1723,Dport21,Dport22,Dport23,Dport443,Dport53,Dport80,Dport8080,Dport995,Dportother,FGack,FGcwr,FGece,FGfin,FGns,FGpsh,FGrst,FGsyn,FGurg,Sport135,Sport1723,Sport21,Sport22,Sport23,Sport443,Sport53,Sport80,Sport8080,Sport995,Sportother
0,"Jul  6, 2020 05:25:59.295389880 UTC",172.217.204.95,10.142.0.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,"Jul  6, 2020 05:26:03.099811221 UTC",,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:26:04.866562474 UTC",0.0.0.0,255.255.255.255,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:25:59.294548085 UTC",10.142.0.3,169.254.169.254,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:25:59.294562864 UTC",10.142.0.3,172.217.204.95,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:26:03.099944347 UTC",169.254.15.115,224.0.0.251,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:26:03.099746247 UTC",192.168.2.1,224.0.0.251,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:25:59.294985781 UTC",169.254.169.254,10.142.0.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,"Jul  6, 2020 05:27:09.972970561 UTC",169.254.169.254,10.142.0.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,"Jul  6, 2020 05:27:07.195561913 UTC",74.125.77.164,10.142.0.3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:27:08.945498330 UTC",10.142.0.3,172.217.204.95,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:27:08.946570431 UTC",172.217.204.95,10.142.0.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,"Jul  6, 2020 05:27:07.195600211 UTC",10.142.0.3,74.125.77.164,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,"Jul  6, 2020 05:27:09.972916049 UTC",169.254.169.254,10.142.0.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,"Jul  6, 2020 05:27:07.445540107 UTC",0.0.0.0,255.255.255.255,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:27:09.445582286 UTC",10.142.0.3,169.254.169.254,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:27:09.445552754 UTC",169.254.169.254,10.142.0.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,"Jul  6, 2020 05:27:07.195595934 UTC",74.125.77.164,10.142.0.3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:27:09.972787143 UTC",10.142.0.3,169.254.169.254,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:27:07.195589611 UTC",10.142.0.3,74.125.77.164,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,"Jul  6, 2020 05:28:08.945484591 UTC",10.142.0.3,172.217.204.95,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:28:07.951389804 UTC",10.142.0.3,74.125.75.98,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,"Jul  6, 2020 05:28:07.951829803 UTC",10.142.0.3,74.125.75.98,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,"Jul  6, 2020 05:28:07.945635802 UTC",10.142.0.3,74.125.75.98,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,"Jul  6, 2020 05:28:07.951350586 UTC",10.142.0.3,74.125.75.98,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,"Jul  6, 2020 05:28:07.946867013 UTC",74.125.75.98,10.142.0.3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:28:07.946622653 UTC",10.142.0.3,74.125.75.98,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,"Jul  6, 2020 05:28:08.946377878 UTC",172.217.204.95,10.142.0.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,"Jul  6, 2020 05:28:07.951699201 UTC",74.125.75.98,10.142.0.3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:28:07.695558727 UTC",192.168.1.195,147.231.100.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:28:07.951654800 UTC",74.125.75.98,10.142.0.3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:28:07.945568574 UTC",74.125.75.98,10.142.0.3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:28:07.945590454 UTC",74.125.75.98,10.142.0.3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:28:07.952016414 UTC",74.125.75.98,10.142.0.3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:28:07.709789368 UTC",147.231.100.5,192.168.1.195,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:29:16.946251013 UTC",172.217.204.95,10.142.0.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,"Jul  6, 2020 05:29:15.195556833 UTC",192.168.1.195,147.231.100.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:29:15.197291145 UTC",147.231.100.5,192.168.1.195,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:29:16.445553855 UTC",0.0.0.0,255.255.255.255,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,"Jul  6, 2020 05:29:16.945489547 UTC",10.142.0.3,172.217.204.95,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
